id,question_id,value,index,presentation_colour,presentation_percentage
1,1,"sub (or submarine)",1,0,51
2,1,grinder,2,,2
3,1,hoagie,3,1,8
4,1,hero,4,5,3
5,1,"poor boy (or po-boy)",5,6,2
6,1,"Italian or Italian sandwich",6,,2
7,1,baguette,7,,1
8,1,sarney,8,,0
9,1,wedge,9,,0
10,1,"togo or to go",10,,0
11,1,"filled roll",11,,0
12,1,"salad roll",12,,0
13,1,"club sandwich",13,4,3
14,1,"deli or deli sandwich",14,2,6
15,1,"cuban sandwich",15,,0
16,1,bun,16,,0
17,1,roll,17,,1
18,1,"cold sandwich",18,,1
19,1,nudger,19,,0
20,1,"hobo sandwich",20,,0
21,1,"cold cut",21,,2
22,1,"zep or zeppelin",22,,0
24,1,torpedo,23,,0
25,1,gyro,24,,0
26,1,spukie,25,,0
27,1,"I only call it a sandwich",26,3,6
28,1,"I have no word for this",27,,0
29,2,coke,1,2,10
30,2,pop,2,1,17
33,7,"gym shoes",1,2,8
34,7,"I have no general word for these",2,,0
35,7,runners,3,,1
36,7,"running shoes",4,3,8
37,7,"takkies or tackies",5,,0
38,7,shoes,6,4,6
39,7,trainers,7,6,2
40,7,"tennies or tenners",8,5,3
41,7,"tennis shoes or tennishoes",9,0,33
42,7,"trackies or trakkies",10,,0
43,7,plimsolls,11,,0
44,7,"sneakers or sneaks",12,1,29
45,7,"athletic shoes",13,,2
46,7,converse,14,,0
47,7,pumps,15,,0
49,7,"chuckies or chucks",16,,0
50,7,joggers,17,,0
51,7,"cross trainers",18,,0
52,7,gutties,19,,0
53,7,kicks,20,,1
55,2,"aerated waters",3,,0
56,2,bubbly,4,,0
57,2,tonic,5,,0
58,2,cocola,6,,0
59,2,"soft drink",7,3,10
60,2,soda,8,0,41
61,2,"fizzy drink",9,,1
62,2,"cold drink",10,,0
63,2,"fizzy pop",11,,0
64,2,"mineral water",12,,0
65,2,"soda pop",13,5,3
66,2,"cool drink",14,,0
67,2,fanta,15,,0
68,2,softie,16,,0
69,2,"soda water",17,,0
70,2,fizzy,18,,0
71,2,cola,19,,1
72,2,"fountain drink",20,6,2
74,2,fizz,21,,0
75,2,juice,22,,0
76,2,lemonade,23,,0
77,2,ginger,24,,0
78,2,"I just call each kind by its individual name",25,4,5
79,2,"fizzy juice",26,,0
80,2,"sodie pop",27,,0
81,2,pepsi,28,,0
83,2,mineral(s),29,,0
127,13,crawfish,1,0,37
128,13,crayfish,2,1,23
129,13,"crawdad, crawdaddy",3,2,21
130,13,mudbug,4,,1
131,13,yabbie,5,,0
132,13,koura,6,,0
133,13,crowfish,7,,0
134,13,"langostino, langoustine",8,,0
135,13,"I call live ones crayfish, and cooked ones crawdads",9,,0
136,13,"I call live ones crayfish, and cooked ones crawfish",10,,1
137,13,"mini/little/baby lobster",11,,0
138,13,"mud puppy",12,,0
139,13,crab,13,5,1
140,13,"I have no word for this critter",14,3,4
141,13,"crawfish is singular, crayfish is plural",15,,0
142,13,prawn,16,6,1
143,13,"Cooked ones are crawfish; live ones in the water are mud puppies",17,,0
144,13,craydid,18,,0
145,13,lobster,19,4,2
200,20,"you all",1,3,12
201,20,"y'all, ya'll",2,1,15
202,20,"yous, youse, yas, yiz",3,,0
203,20,"you guys",4,0,35
204,20,"you lot",5,,1
205,20,"you 'uns, youns",6,,0
206,20,"yins, yinz, yuns, yunz",7,,0
207,20,you,8,2,12
208,20,"youse guys",9,,0
209,20,"all of you",10,4,8
210,20,"ye, the lot of ye",11,,0
211,20,"all y'all",12,5,4
212,20,"you folks",13,,2
213,20,"you people",14,6,3
214,20,"y'all guys",15,,0
215,20,awlayiz,16,,0
216,21,doodlebug,1,,2
217,21,pillbug,2,1,15
218,21,"roly poly, rollie pollie, rolly polly",3,0,48
219,21,"potato bug",4,2,9
220,21,"sow bug",5,,1
221,21,"slater, slater bug",6,,0
222,21,"wood louse",7,,1
223,21,beetle,8,6,2
224,21,centipede,9,,1
225,21,"I just call them bugs",10,3,4
226,21,"I don't know this creature",11,4,3
227,21,"I know what this creature is, but I have no word for it",12,5,2
228,21,millipede,13,,0
229,21,"water bug",14,,0
230,21,"armadillo bug",15,,0
231,21,"roll-up bug",16,,0
232,21,isopod,17,,0
233,21,"june bug",18,,0
234,21,"rolly bug, roly bug",19,,0
235,21,"grub, grubbie",20,,0
236,21,"basketball bug",21,,0
237,21,"twiddle bug",22,,0
238,21,"tickle bug",23,,0
239,21,"ball bug",24,,0
240,21,"baseball bug",25,,0
241,21,"slug bug",26,,0
242,21,"pill box",27,,0
243,21,"curly bug",28,,0
244,21,"basement bug",29,,0
245,21,"wood bug",30,,0
246,21,"curl up bug",31,,0
247,21,"mud bug",32,,0
248,21,termite,33,,0
249,21,"carpenter, carpenter bug",34,,0
250,21,trilobite,35,,0
251,21,"ant lion",36,,0
252,21,"roller bug",37,,0
253,21,"curler bug",38,,0
327,30,sunshower,1,1,35
328,30,"the devil is beating his wife, the devil is whipping his wife",2,2,6
329,30,"liquid sun(shine)",3,3,1
330,30,"monkey's wedding",4,,0
331,30,"fox's wedding",5,,0
332,30,"the wolf is giving birth",6,,0
333,30,"pineapple rain, pineapple shower, pineapple juice",7,,0
334,30,"sunshiney shower",8,,0
335,30,"devil's shower, devil's rain",9,,0
336,30,"the devil's getting married",10,,0
337,30,"phantom rain",11,,0
338,30,"the devil's chasing his wife",12,,0
339,30,"monkey's birthday",13,,0
340,30,"the monkey is giving birth",14,,0
341,30,"a tailor went to heaven",15,,0
342,30,"the sun is crying",16,,0
343,30,"the devil is having a fight with his wife",17,,0
344,30,"the witches are getting married",18,,0
345,30,"mongoose's wedding",19,,0
346,30,"a liar is paying his debts",20,,0
347,30,"God and the Devil are fighting",21,,0
348,31,"sleep, sleeps, eye sleep",1,1,18
349,31,"boogers, eye boogers, eye boogies",2,0,20
351,30,"I have no special word or phrase for this",22,0,47
352,31,"crusties, eye crusties",3,3,9
